01/30/25,0,1,0,0,0,0
02/06/25,1,1,0,0,0,0
02/13/25,0,1,1,0,0,0
02/20/25,1,1,0,0,0,0
02/27/25,0,1,0,0,0,0
01/02/25,0,1,0,0,0,0
01/09/25,0,1,0,0,0,0
01/16/25,0,1,0,0,0,0
01/23/25,0,1,0,0,0,0
01/30/25,0,1,0,0,0,0
02/06/25,1,1,0,0,0,0
02/13/25,0,1,1,0,0,0
02/20/25,1,1,0,0,0,0
02/27/25,0,1,0,0,0,0
03/06/25,1,1,0,0,0,0
03/13/25,0,1,0,0,0,0
03/20/25,1,1,0,0,0,0
03/27/25,0,1,0,0,0,0
04/03/25,1,1,0,0,0,0
04/10/25,0,1,0,0,0,0
04/17/25,1,1,1,0,0,0
04/24/25,0,1,0,0,0,0
05/01/25,1,1,0,0,0,0
05/08/25,0,1,0,0,0,0
05/15/25,1,1,1,0,0,0
05/22/25,0,1,0,0,0,0
05/30/25,1,1,0,0,0,0
06/05/25,0,1,0,0,0,0
06/12/25,1,1,1,0,0,0
06/19/25,0,1,0,0,0,0
06/26/25,1,1,0,0,0,0
07/03/25,0,1,0,0,0,0
07/10/25,1,1,0,0,0,0
07/17/25,0,1,1,0,0,0
07/24/25,1,1,0,0,0,0
07/31/25,0,1,0,0,0,0
08/07/25,1,1,0,0,0,0
08/14/25,0,1,1,0,0,0
08/21/25,1,1,0,0,0,0
08/28/25,0,1,0,0,0,0
09/05/25,1,1,0,0,0,0
09/11/25,0,1,1,0,0,0
09/18/25,1,1,0,0,0,0
09/25/25,0,1,0,0,0,0
10/02/25,1,1,0,0,0,0
10/09/25,0,1,0,0,0,0
10/16/25,1,1,1,0,0,0
10/23/25,0,1,0,0,0,0
10/30/25,1,1,0,0,0,0
11/06/25,0,1,0,0,0,0
11/13/25,1,1,1,0,0,0
11/20/25,0,1,0,0,0,0
11/28/25,1,1,0,0,0,0
12/04/25,0,1,0,0,0,0
12/11/25,1,1,1,0,0,0
12/18/25,0,1,0,0,0,0
12/26/25,1,1,0,0,0,0